"","name","tag","value","fy","fp","period"
"528800","conns","Assets",1297986000,2015,"Q1",20140430
"528801","conns","Assets",1360383000,2015,"Q1",20140430
"540406","world acceptance","Assets",850027561,2015,"Q1",20140630
"540407","world acceptance","Assets",878866105,2015,"Q1",20140630
"549735","toyota motor credit","Assets",9.5355e+10,2015,"Q1",20140630
"549736","toyota motor credit","Assets",1.0274e+11,2015,"Q1",20140630
"549737","toyota motor credit","Assets",1.0469e+11,2015,"Q1",20140630
"555144","carmax","Assets",11707157000,2015,"Q1",20140531
"555145","carmax","Assets",12148960000,2015,"Q1",20140531
"555320","americas carmart","Assets",363297000,2015,"Q1",20140731
"555321","americas carmart","Assets",379936000,2015,"Q1",20140731
"561275","nicholas","Assets",283429579,2015,"Q1",20140630
"561276","nicholas","Assets",291284569,2015,"Q1",20140630
"563160","conns","Assets",1297986000,2015,"Q2",20140731
"563161","conns","Assets",1449195000,2015,"Q2",20140731
"563417","conns","Assets",1297986000,2015,"Q2",20140731
"563418","conns","Assets",1449195000,2015,"Q2",20140731
"572334","american honda finance","Assets",6.1333e+10,2015,"Q1",20140630
"572335","american honda finance","Assets",6.4296e+10,2015,"Q1",20140630
"572336","american honda finance","Assets",6.5292e+10,2015,"Q1",20140630
"572337","american honda finance","Assets",8.458e+09,2015,"Q1",20140630
"572338","american honda finance","Assets",8.152e+09,2015,"Q1",20140630
"573079","automatic data processing","Assets",32059800000,2015,"Q1",20140930
"573080","automatic data processing","Assets",30208100000,2015,"Q1",20140930
"578473","world acceptance","Assets",850027561,2015,"Q2",20140930
"578474","world acceptance","Assets",889975990,2015,"Q2",20140930
"583348","toyota motor credit","Assets",9.8083e+10,2015,"Q2",20140930
"583349","toyota motor credit","Assets",1.0274e+11,2015,"Q2",20140930
"583350","toyota motor credit","Assets",1.06015e+11,2015,"Q2",20140930
"594612","carmax","Assets",11707157000,2015,"Q2",20140831
"594613","carmax","Assets",12399913000,2015,"Q2",20140831
"594902","skyline","Assets",65754000,2015,"Q1",20140831
"594903","skyline","Assets",60462000,2015,"Q1",20140831
"599673","nicholas","Assets",283429579,2015,"Q2",20140930
"599674","nicholas","Assets",295775128,2015,"Q2",20140930
"608767","american honda finance","Assets",6.3381e+10,2015,"Q2",20140930
"608768","american honda finance","Assets",6.4296e+10,2015,"Q2",20140930
"608769","american honda finance","Assets",6.5743e+10,2015,"Q2",20140930
"608770","american honda finance","Assets",8.458e+09,2015,"Q2",20140930
"608771","american honda finance","Assets",7.937e+09,2015,"Q2",20140930
"609996","automatic data processing","Assets",32059800000,2015,"Q2",20141231
"609997","automatic data processing","Assets",43503100000,2015,"Q2",20141231
"616741","world acceptance","Assets",850027561,2015,"Q3",20141231
"616742","world acceptance","Assets",938349263,2015,"Q3",20141231
"620328","toll brothers","Assets",8416902000,2015,"Q1",20150131
"620329","toll brothers","Assets",8421619000,2015,"Q1",20150131
"620330","toll brothers","Assets",-6414565000,2015,"Q1",20150131
"620331","toll brothers","Assets",-6462220000,2015,"Q1",20150131
"620332","toll brothers","Assets",7138281000,2015,"Q1",20150131
"620333","toll brothers","Assets",7109886000,2015,"Q1",20150131
"620334","toll brothers","Assets",1018516000,2015,"Q1",20150131
"620335","toll brothers","Assets",1051643000,2015,"Q1",20150131
"620336","toll brothers","Assets",3980420000,2015,"Q1",20150131
"620337","toll brothers","Assets",4022077000,2015,"Q1",20150131
"620338","toll brothers","Assets",2694250000,2015,"Q1",20150131
"620339","toll brothers","Assets",2700233000,2015,"Q1",20150131
"622303","chs","Assets",14615896000,2015,"Q1",20141130
"622304","chs","Assets",15146979000,2015,"Q1",20141130
"622305","chs","Assets",16596079000,2015,"Q1",20141130
"623159","toyota motor credit","Assets",9.9651e+10,2015,"Q3",20141231
"623160","toyota motor credit","Assets",1.0274e+11,2015,"Q3",20141231
"623161","toyota motor credit","Assets",1.06848e+11,2015,"Q3",20141231
"624429","ezcorp","Assets",1369129000,2015,"Q1",20141231
"624430","ezcorp","Assets",1403471000,2015,"Q1",20141231
"624431","ezcorp","Assets",1351383000,2015,"Q1",20141231
"627330","washington federal","Assets",14756041000,2015,"Q1",20141231
"627331","washington federal","Assets",14494756000,2015,"Q1",20141231
"630312","headwaters","Assets",903427000,2015,"Q1",20141231
"630313","headwaters","Assets",903427000,2015,"Q1",20141231
"630314","headwaters","Assets",874308000,2015,"Q1",20141231
"630315","headwaters","Assets",715491000,2015,"Q1",20141231
"630316","headwaters","Assets",693096000,2015,"Q1",20141231
"630317","headwaters","Assets",86048000,2015,"Q1",20141231
"630318","headwaters","Assets",83618000,2015,"Q1",20141231
"630319","headwaters","Assets",1232996000,2015,"Q1",20141231
"630320","headwaters","Assets",1300613000,2015,"Q1",20141231
"632895","carmax","Assets",11707157000,2015,"Q3",20141130
"632896","carmax","Assets",12843406000,2015,"Q3",20141130
"633111","americas carmart","Assets",363297000,2015,"Q3",20150131
"633112","americas carmart","Assets",409696000,2015,"Q3",20150131
"633316","skyline","Assets",65754000,2015,"Q2",20141130
"633317","skyline","Assets",55068000,2015,"Q2",20141130
"633498","apple","Assets",2.31839e+11,2015,"Q1",20141227
"633499","apple","Assets",2.61894e+11,2015,"Q1",20141227
"633992","nicholas","Assets",283429579,2015,"Q3",20141231
"633993","nicholas","Assets",296500204,2015,"Q3",20141231
"641780","universal technical institute","Assets",288069000,2015,"Q1",20141231
"641781","universal technical institute","Assets",286201000,2015,"Q1",20141231
"645327","national","Assets",42439000,2015,"Q1",20141231
"645328","national","Assets",64793000,2015,"Q1",20141231
"645329","national","Assets",61174000,2015,"Q1",20141231
"651188","american honda finance","Assets",6.44e+10,2015,"Q3",20141231
