"","Company","total","timely","disputed","percent_timely","percent_disputed","assets","standardized","z_total","z_assets","rank_total","rank_standardized"
"1","ally",1849,1848,299,0.999459167117361,0.16170903190914,64357307692.3077,0.0243753200272629,-0.130214565708055,-0.154589885735318,18,17
"2","american honda finance",333,330,90,0.990990990990991,0.27027027027027,41686850000,-0.0893536175122824,-0.313198766175179,-0.223845148662896,28,78
"3","americas carmart",4,4,0,1,0,379980666.666667,-0.00287752228376964,-0.352909717331962,-0.350032195048192,86,43
"4","apple",12,10,0,0.833333333333333,0,2.48626e+11,-0.76027080563941,-0.351944101498363,0.408326704141048,73,91
"5","arc",5,1,0,0.2,0,979611.25,-0.0015990219884105,-0.352789015352762,-0.351189993364352,82.5,39
"6","asta funding",95,94,26,0.989473684210526,0.273684210526316,222957666.666667,0.00858604241110689,-0.341925837224767,-0.350511879635874,46,24
"7","astoria",175,175,54,1,0.308571428571429,15527742500,-0.028511901532983,-0.332269678888771,-0.303757777355788,38,56
"8","automatic data processing",1,1,1,1,1,34021025000,-0.106008588693387,-0.353271823269562,-0.247263234576175,93.5,81
"9","bancorpsouth",68,63,10,0.926470588235294,0.147058823529412,13341238833.3333,-0.0347475325318971,-0.345184790663165,-0.310437258131268,52,60
"10","bank of america",51192,49642,11405,0.969721831536178,0.222788716987029,1322143100000,2.13780311367075,5.82558319395506,3.68778008028431,1,4
"11","bank of hawaii",59,58,16,0.983050847457627,0.271186440677966,14844876833.3333,-0.0404272664305673,-0.346271108475965,-0.305843842045398,58,64
"12","bankunited",178,177,45,0.99438202247191,0.252808988764045,19951561500,-0.0416639800969591,-0.331907572951171,-0.290243592854212,37,65
"13","bbt",2010,2006,469,0.998009950248756,0.233333333333333,188478250000,-0.335364795406735,-0.110781547056863,0.224583248349872,16,88
"14","blackhawk network",100,99,19,0.99,0.19,1797969500,0.00437809855915,-0.341322327328767,-0.345700425887917,45,27
"15","capital one",13652,13594,2630,0.995751538236156,0.192645766188104,3.08267e+11,0.703908789376176,1.29443089478895,0.590522105412774,8,6
"16","carmax",56,56,6,1,0.107142857142857,12177388500,-0.0326405467737051,-0.346633214413565,-0.31399266763986,59,59
"17","cash america international",66,66,11,1,0.166666666666667,1747033166.66667,0.00042983505721661,-0.345426194621565,-0.345856029678782,53.5,32
