"","Company","total","timely","disputed","percent_timely","percent_disputed"
"1","ally",1849,1848,299,0.999459167117361,0.16170903190914
"2","transworld systems",946,946,110,1,0.116279069767442
"3","credit karma",11,11,0,1,0
"4","convergent resources",1093,1091,135,0.998170173833486,0.123513266239707
"5","jp development",1,1,1,1,1
"6","navy fcu",1327,1319,282,0.9939713639789,0.212509419743783
"7","meridian",48,29,6,0.604166666666667,0.125
"8","dyckoneal",62,60,15,0.967741935483871,0.241935483870968
"9","the cmi",333,333,32,1,0.0960960960960961
"10","credit protection association lp",418,390,33,0.933014354066986,0.0789473684210526
"11","commonwealth financial systems",484,478,191,0.987603305785124,0.394628099173554
"12","uscb",55,42,6,0.763636363636364,0.109090909090909
"13","flagstar",1571,1571,356,1,0.226607256524507
"14","americollect",78,78,24,1,0.307692307692308
"15","enhanced recovery",2266,2263,511,0.998676081200353,0.225507502206531
"16","transunion",20110,20110,3027,1,0.150522128294381
"17","action collection service",23,23,8,1,0.347826086956522
"18","credence resource management",76,64,8,0.842105263157895,0.105263157894737
"19","cng financial",584,537,77,0.919520547945205,0.131849315068493
"20","fnis fidelity national information",790,784,185,0.992405063291139,0.234177215189873
"21","ocwen",18895,18356,4639,0.971473934903414,0.24551468642498
"22","the cbe",534,534,89,1,0.166666666666667
"23","premium asset",322,212,21,0.658385093167702,0.0652173913043478
"24","penn credit",307,306,50,0.996742671009772,0.162866449511401
"25","arbor residential mortgage",219,213,39,0.972602739726027,0.178082191780822
"26","stallings financial",28,28,11,1,0.392857142857143
"27","equifax",24785,24785,5157,1,0.208069396812588
"28","urs holding",253,253,43,1,0.1699604743083
"29","american advisors",69,63,7,0.91304347826087,0.101449275362319
"30","concord servicing",35,35,2,1,0.0571428571428571
"31","cmre",236,224,60,0.949152542372881,0.254237288135593
"32","professional recovery management",65,64,22,0.984615384615385,0.338461538461538
"33","bayview loan servicing",1181,1133,285,0.959356477561389,0.241320914479255
"34","northwest collectors",14,9,8,0.642857142857143,0.571428571428571
"35","hcfs health care",210,200,60,0.952380952380952,0.285714285714286
"36","amsher collection",167,167,16,1,0.0958083832335329
"37","springleaf finance",545,545,106,1,0.194495412844037
"38","holloway credit solutions",30,29,9,0.966666666666667,0.3
"39","amex",4759,4757,1265,0.999579743643623,0.265812145408699
"40","msw capital",13,9,2,0.692307692307692,0.153846153846154
"41","wells fargo",37223,36965,8688,0.99306880154743,0.233404078123741
"42","financial data systems",7,7,2,1,0.285714285714286
"43","vantage sourcing",14,14,4,1,0.285714285714286
"44","online information",142,141,26,0.992957746478873,0.183098591549296
"45","nissan motor acceptance",308,306,82,0.993506493506494,0.266233766233766
"46","caine weiner",106,106,21,1,0.19811320754717
"47","santander bank us",1731,1715,355,0.990756787983824,0.205083766608897
"48","conns",66,66,5,1,0.0757575757575758
"49","brightwater capital",7,6,0,0.857142857142857,0
"50","revenue recovery",112,112,32,1,0.285714285714286
"51","first national collection bureau",422,410,35,0.971563981042654,0.0829383886255924
"52","gma investments",19,18,4,0.947368421052632,0.210526315789474
"53","bca",24,23,5,0.958333333333333,0.208333333333333
"54","nationstar mortgage",11409,11284,2728,0.989043737400298,0.239109474975896
"55","rarogers",12,11,2,0.916666666666667,0.166666666666667
"56","loan care",395,383,82,0.969620253164557,0.207594936708861
"57","capital credit and collection service",4,4,1,1,0.25
"58","bbt",2010,2006,469,0.998009950248756,0.233333333333333
"59","associated credit",25,23,8,0.92,0.32
"60","early warning",65,65,27,1,0.415384615384615
"61","nations recovery center",66,56,17,0.848484848484849,0.257575757575758
"62","eos",741,737,142,0.994601889338731,0.191632928475034
"63","atg credit",101,96,25,0.95049504950495,0.247524752475248
"64","e a uffman associates",11,11,2,1,0.181818181818182
"65","jpmorgan chase",29607,29530,6699,0.997399263687641,0.226264059175195
"66","gm",417,414,116,0.992805755395683,0.278177458033573
"67","gila",131,131,18,1,0.137404580152672
"68","diversified consultants",816,798,123,0.977941176470588,0.150735294117647
"69","ability recovery",94,94,27,1,0.287234042553192
"70","account services collections",20,18,5,0.9,0.25
"71","stellar recovery",557,554,86,0.994614003590664,0.154398563734291
"72","frederick j hanna associates pc",175,174,52,0.994285714285714,0.297142857142857
"73","financial credit service",198,177,25,0.893939393939394,0.126262626262626
"74","third federal savings loan",100,100,21,1,0.21
"75","scottrade",16,16,10,1,0.625
"76","citigroup",22150,21837,4656,0.985869074492099,0.21020316027088
"77","navient",6771,6770,1273,0.999852311327721,0.188007679810959
"78","experian",24756,24750,3279,0.999757634512845,0.132452738730005
"79","delta management associates",69,69,12,1,0.173913043478261
"80","usa discounters",15,15,7,1,0.466666666666667
"81","mrs bpo",144,144,14,1,0.0972222222222222
"82","bank of america",51192,49642,11405,0.969721831536178,0.222788716987029
"83","medical business bureau",77,75,27,0.974025974025974,0.350649350649351
"84","td",3861,3854,882,0.998186998186998,0.228438228438228
"85","capital one",13652,13594,2630,0.995751538236156,0.192645766188104
"86","consumer collection management",25,12,2,0.48,0.08
"87","phillips cohen associates",68,68,14,1,0.205882352941176
"88","phoenix",34,33,4,0.970588235294118,0.117647058823529
"89","adler wallach associates",76,74,14,0.973684210526316,0.184210526315789
"90","us bancorp",8277,8186,1865,0.989005678385889,0.225323184728766
"91","clearspring loan",124,117,25,0.943548387096774,0.201612903225806
"92","recovery one",33,32,10,0.96969696969697,0.303030303030303
"93","drivetime",182,181,32,0.994505494505495,0.175824175824176
"94","hatfield portfolio",48,42,4,0.875,0.0833333333333333
"95","fifth third",2491,2480,477,0.995584102769972,0.191489361702128
"96","central portfolio control",53,52,5,0.981132075471698,0.0943396226415094
"97","unifin",7,7,2,1,0.285714285714286
"98","continental finance",148,138,23,0.932432432432432,0.155405405405405
"99","fma alliance",34,34,5,1,0.147058823529412
"100","discover",3940,3925,770,0.996192893401015,0.195431472081218
"101","blackhawk network",100,99,19,0.99,0.19
"102","ccs",556,506,65,0.910071942446043,0.116906474820144
"103","xoom",26,26,9,1,0.346153846153846
